dataset_id,title,url,final_url,http_status,reachable,error,elapsed_ms
inq-0087,Article 4 direction,https://www.planning.data.gov.uk/dataset/article-4-direction,https://www.planning.data.gov.uk/dataset/article-4-direction,200,True,,119
inq-0088,Local plan,https://www.planning.data.gov.uk/dataset/local-plan,https://www.planning.data.gov.uk/dataset/local-plan,200,True,,89
inq-0089,minerals plan,https://www.planning.data.gov.uk/dataset/minerals-plan,https://www.planning.data.gov.uk/dataset/minerals-plan,200,True,,158
inq-0090,supplementary plan,https://www.planning.data.gov.uk/dataset/supplementary-plan,https://www.planning.data.gov.uk/dataset/supplementary-plan,200,True,,118
inq-0091,Tree preservation order,https://www.planning.data.gov.uk/dataset/tree-preservation-order,https://www.planning.data.gov.uk/dataset/tree-preservation-order,200,True,,108
inq-0092,waste plan,https://www.planning.data.gov.uk/dataset/waste-plan,https://www.planning.data.gov.uk/dataset/waste-plan,200,True,,110
inq-0093,Community infrastructure levy schedule,https://www.planning.data.gov.uk/dataset/community-infrastructure-levy-schedule,https://www.planning.data.gov.uk/dataset/community-infrastructure-levy-schedule,200,True,,123
inq-0094,Conservation area document,https://www.planning.data.gov.uk/dataset/conservation-area-document,https://www.planning.data.gov.uk/dataset/conservation-area-document,200,True,,91
inq-0095,Developer agreement,https://www.planning.data.gov.uk/dataset/developer-agreement,https://www.planning.data.gov.uk/dataset/developer-agreement,200,True,,151
inq-0096,Development plan document,https://www.planning.data.gov.uk/dataset/development-plan-document,https://www.planning.data.gov.uk/dataset/development-plan-document,200,True,,252
inq-0097,Infrastructure funding statement,https://www.planning.data.gov.uk/dataset/infrastructure-funding-statement,https://www.planning.data.gov.uk/dataset/infrastructure-funding-statement,200,True,,282
inq-0098,Local area requirements,https://www.planning.data.gov.uk/dataset/local-area-requirements,https://www.planning.data.gov.uk/dataset/local-area-requirements,200,True,,98
inq-0099,Company,https://www.planning.data.gov.uk/dataset/company,https://www.planning.data.gov.uk/dataset/company,200,True,,123
inq-0100,Development corporation,https://www.planning.data.gov.uk/dataset/development-corporation,https://www.planning.data.gov.uk/dataset/development-corporation,200,True,,122
inq-0101,Government organisation,https://www.planning.data.gov.uk/dataset/government-organisation,https://www.planning.data.gov.uk/dataset/government-organisation,200,True,,142
inq-0102,Local authority,https://www.planning.data.gov.uk/dataset/local-authority,https://www.planning.data.gov.uk/dataset/local-authority,200,True,,105
inq-0103,Local planning group,https://www.planning.data.gov.uk/dataset/local-planning-group,https://www.planning.data.gov.uk/dataset/local-planning-group,200,True,,149
inq-0104,Local resilience forum,https://www.planning.data.gov.uk/dataset/local-resilience-forum,https://www.planning.data.gov.uk/dataset/local-resilience-forum,200,True,,273
inq-0105,National park authority,https://www.planning.data.gov.uk/dataset/national-park-authority,https://www.planning.data.gov.uk/dataset/national-park-authority,200,True,,309
inq-0106,Nonprofit organisation,https://www.planning.data.gov.uk/dataset/,https://www.planning.data.gov.uk/dataset/,200,True,,129
inq-0107,Passenger transport executive,https://www.planning.data.gov.uk/dataset/passenger-transport-executive,https://www.planning.data.gov.uk/dataset/passenger-transport-executive,200,True,,318
inq-0108,Public authority,https://www.planning.data.gov.uk/dataset/public-authority,https://www.planning.data.gov.uk/dataset/public-authority,200,True,,111
inq-0109,Regional park authority,https://www.planning.data.gov.uk/dataset/regional-park-authority,https://www.planning.data.gov.uk/dataset/regional-park-authority,200,True,,140
inq-0110,Waste disposal authority,https://www.planning.data.gov.uk/dataset/,https://www.planning.data.gov.uk/dataset/,200,True,,129
inq-0111,Design code,https://www.planning.data.gov.uk/dataset/design-code,https://www.planning.data.gov.uk/dataset/design-code,200,True,,120
inq-0112,Design code rule,https://www.planning.data.gov.uk/dataset/design-code-rule,https://www.planning.data.gov.uk/dataset/design-code-rule,200,True,,153
